TrainingSlot,ValidationSlot,Sensor,Min,Max,Std,Avg,
37,26,RV,21016,45346,"3,165.52","26,644.47",
38,14,LV,20463,33208,"2,464.91","26,669.18",
4,15,RI,21249,33779,"2,277.56","26,689.26",
28,3,RI,15949,42014,"3,429.87","26,724.17",
14,27,TI,19125,39547,"3,796.72","26,731.45",
15,13,RI,13774,40123,"5,024.06","26,737.60",
14,2,TI,15611,41846,"5,340.56","26,769.67",
27,39,BV,18266,33953,"2,405.03","26,795.94",
39,3,BV,19005,36935,"3,296.58","26,797.67",
1,27,TI,12619,39393,"5,089.39","26,805.97",
16,27,TV,19931,33954,"2,738.26","26,826.66",
3,13,BV,14534,48207,"6,194.99","26,837.71",
26,3,RV,17407,37238,"3,827.14","26,878.23",
37,13,RI,19496,36792,"3,586.33","26,881.34",
2,25,BI,15506,39157,"4,716.33","26,897.22",
2,28,RI,18374,35756,"3,621.82","26,948.66",
1,13,BV,18125,46694,"5,401.49","26,955.22",
14,25,RV,20717,34407,"2,397.80","26,960.13",
14,27,LI,15059,40137,"5,069.03","26,963.89",
14,26,RI,19327,34378,"3,018.71","26,987.43",
26,15,TI,13391,40802,"4,588.08","26,995.09",
26,13,TI,14273,37382,"4,601.94","26,997.73",
1,38,TV,20100,34562,"2,756.54","27,023.82",
28,26,TV,19978,36229,"3,166.61","27,037.74",
1,13,LI,14402,53267,"6,529.20","27,047.92",
2,15,TV,19661,49543,"5,097.51","27,062.47",
16,1,RI,19269,36171,"3,269.50","27,121.12",
26,40,TI,16862,37166,"4,411.86","27,138.86",
2,26,TI,16383,43399,"5,097.47","27,150.42",
1,2,RI,17693,39360,"4,795.94","27,171.28",
14,25,TV,22085,33906,"1,805.84","27,217.18",
2,25,RV,19541,44207,"4,117.17","27,227.32",
14,3,LI,17070,37887,"4,512.18","27,295.11",
2,26,TV,22198,33240,"2,305.96","27,296.58",
14,38,TI,15533,44234,"5,990.66","27,345.32",
28,13,RI,20616,38008,"3,113.35","27,380.40",
40,14,RI,22311,34195,"2,541.97","27,433.62",
26,4,RV,18434,35985,"3,267.74","27,438.20",
16,39,TV,22191,33100,"2,095.64","27,460.82",
3,27,RV,9079,38530,"3,362.49","27,464.11",
3,25,LI,14961,46118,"6,001.75","27,500.38",
2,38,TI,18178,38136,"4,077.50","27,503.89",
2,37,TV,21027,33206,"2,064.31","27,506.92",
39,16,RI,19858,39369,"3,031.71","27,514.25",
37,28,RV,20181,34037,"2,764.43","27,517.85",
40,37,TV,18411,37020,"3,505.05","27,542.36",
40,25,BI,19642,38655,"3,184.37","27,544.47",
2,28,TI,17648,36240,"3,784.53","27,562.66",
26,38,TI,16315,45355,"5,643.25","27,571.51",
38,25,RV,19272,37108,"3,669.77","27,594.11",
16,3,RI,19637,58138,"3,734.20","27,613.66",
39,37,TV,18785,38271,"3,255.27","27,619.80",
26,4,TI,10586,42280,"7,261.06","27,632.33",
2,26,RV,18339,69944,"6,080.54","27,665.29",
14,4,TI,14268,44591,"5,376.83","27,681.63",
39,15,RV,23108,33354,"1,656.41","27,690.64",
2,37,LI,15621,39055,"5,650.57","27,709.09",
27,4,BI,20153,37674,"3,466.09","27,716.64",
28,1,BV,21123,39201,"3,005.45","27,756.42",
4,13,BV,15777,53487,"6,562.98","27,765.18",
39,26,RV,20757,53760,"3,814.62","27,775.84",
14,2,RI,16036,38643,"4,775.06","27,779.17",
2,14,LI,15579,44210,"5,955.36","27,779.50",
14,37,LI,15328,45269,"5,676.03","27,804.25",
16,14,RV,20613,36088,"2,663.56","27,808.11",
39,4,RV,19940,38237,"3,157.34","27,819.33",
2,3,LV,20160,34866,"3,043.01","27,819.38",
1,14,BV,18563,44097,"5,323.87","27,821.20",
4,26,RI,21102,36076,"2,592.79","27,839.09",
14,1,LI,16952,37495,"4,170.59","27,853.91",
4,38,TI,15573,40108,"4,228.47","27,855.62",
37,25,RV,21635,35809,"2,413.54","27,856.01",
2,28,BI,17230,35582,"3,256.19","27,897.23",
27,38,BV,21739,37555,"2,628.76","27,899.45",
26,37,TV,23743,33531,"2,113.82","27,909.86",
27,3,LI,14410,45552,"6,076.29","27,928.16",
28,39,TI,19220,40502,"3,799.76","27,957.91",
3,39,TV,21063,35056,"2,492.42","27,975.35",
2,38,TV,22091,34685,"2,347.17","27,998.40",
38,28,LI,14822,39726,"4,945.31","28,043.73",
39,4,BV,18169,42222,"3,618.35","28,052.28",
15,38,BI,17262,38932,"4,050.55","28,086.72",
27,13,LI,15326,51207,"6,217.53","28,089.27",
1,2,BI,20298,40214,"4,056.38","28,095.51",
26,14,BV,16126,49742,"6,492.64","28,097.70",
25,13,RI,20067,37852,"3,255.97","28,114.21",
3,27,LI,9654,43323,"5,922.83","28,130.04",
1,27,LI,12023,51837,"7,771.34","28,136.80",
3,14,BV,16350,43860,"5,677.86","28,147.38",
26,28,TV,17685,38744,"3,808.33","28,164.79",
28,37,LI,15745,45673,"6,255.11","28,173.76",
37,25,LI,14491,50073,"6,273.82","28,177.97",
16,3,BI,22873,41083,"2,187.95","28,178.96",
25,26,RI,19150,41835,"4,744.04","28,181.65",
3,25,TV,20627,36644,"3,104.81","28,190.55",
2,13,BV,16916,53908,"6,684.19","28,202.91",
4,28,TI,15148,36149,"3,879.82","28,223.41",
38,16,BV,15213,68612,"7,742.99","28,239.80",
26,40,BI,18269,37926,"3,826.02","28,244.39",
27,3,TI,12967,41475,"5,290.21","28,262.34",
3,25,TI,12581,46401,"6,515.40","28,263.20",
4,28,BI,20453,33181,"2,145.55","28,268.80",
1,25,BI,18048,41575,"5,450.18","28,310.03",
4,14,TV,18785,70545,"4,718.98","28,348.70",
25,3,TI,13684,48891,"7,190.18","28,361.17",
16,40,TV,23248,34292,"1,973.36","28,362.51",
2,14,BV,17571,46851,"6,444.44","28,383.92",
14,15,LV,22043,37875,"3,217.43","28,404.59",
39,28,RV,20799,37073,"2,879.14","28,418.33",
27,1,RI,16430,38911,"4,410.51","28,470.98",
28,15,RI,21515,38358,"3,187.30","28,471.55",
25,37,TI,12232,44117,"5,807.08","28,508.50",
25,4,BI,20705,51586,"4,322.85","28,509.33",
26,1,RV,23314,38782,"2,998.03","28,512.74",
4,2,RV,19518,37605,"3,375.40","28,530.79",
25,2,BI,22432,36830,"2,923.68","28,540.96",
2,16,LI,16039,39353,"4,456.20","28,592.99",
4,25,TV,21225,38273,"3,449.33","28,593.57",
25,40,BV,22759,35627,"2,193.88","28,619.04",
16,13,RV,23178,37417,"2,298.76","28,644.05",
3,26,RV,19479,54668,"4,505.24","28,675.76",
27,37,BV,21760,35265,"2,699.93","28,683.47",
13,16,LI,15174,71604,"6,053.59","28,690.56",
2,28,RV,17457,45620,"5,545.69","28,693.80",
37,27,LI,17909,46790,"5,826.49","28,710.29",
25,1,RI,16144,41464,"5,509.96","28,738.36",
3,27,TI,10253,46357,"5,471.75","28,752.42",
38,16,LI,13720,40639,"6,118.00","28,770.41",
39,13,BV,20668,48406,"5,152.31","28,778.58",
28,38,BI,22762,36559,"2,627.61","28,786.63",
1,28,RI,20948,54233,"4,683.27","28,830.80",
39,25,RV,21988,39311,"3,316.70","28,863.47",
38,13,BV,17928,48850,"5,409.53","28,869.46",
37,16,RI,21329,49932,"4,705.14","28,874.43",
13,27,RV,23324,36793,"2,584.99","28,897.54",
13,1,TV,20004,48763,"4,196.39","28,910.93",
1,26,RI,21948,42266,"3,842.46","28,911.66",
39,16,RV,21674,35751,"2,770.00","28,923.51",
1,37,BI,20009,39480,"4,136.11","28,926.25",
4,13,TI,16630,42226,"5,161.42","28,988.60",
14,4,TV,20362,41728,"4,285.48","28,988.87",
1,16,BV,16342,59087,"6,631.27","28,999.32",
38,4,RV,21199,41058,"3,103.04","29,000.15",
38,14,BI,15546,46566,"5,387.80","29,006.72",
37,15,RV,22857,35200,"2,370.97","29,015.06",
2,39,LI,15282,43296,"6,213.58","29,031.40",
3,2,LI,16923,43483,"5,026.55","29,059.56",
39,16,BV,17836,74152,"7,289.15","29,081.35",
13,3,TV,19624,47553,"4,171.45","29,090.14",
4,26,TI,14720,48591,"5,815.01","29,105.15",
27,26,TI,15097,47675,"5,771.87","29,127.06",
28,39,TV,22990,38638,"2,522.67","29,190.95",
40,15,LI,16693,45082,"6,864.61","29,191.73",
28,39,LI,16035,43588,"6,493.63","29,209.31",
26,1,LV,22980,39863,"3,445.82","29,211.41",
1,14,TV,20277,62687,"4,312.82","29,220.38",
13,14,RI,20143,40249,"4,149.23","29,233.93",
